1096k  1.193.58.36:8800
1026k  123.101.98.150:2000
984k  123.160.173.56:8800
970k  171.8.169.65:8800
645k  123.101.98.4:2000
601k  123.101.98.188:2000
442k  1.196.152.44:2000
383k  171.8.170.63:8800
298k  171.8.80.242:8800
248k  123.101.98.4:2002
222k  106.42.109.167:2000
163k  106.42.109.167:2001
130k  123.101.98.188:2002
