964k  59.172.51.237:4022
959k  111.178.176.18:4022
957k  119.100.46.80:8888
957k  116.208.22.17:8880
945k  27.19.219.87:8989
942k  58.50.44.61:8888
912k  59.174.225.55:8880
909k  59.172.68.2:4022
893k  27.16.182.173:8082
866k  59.173.134.58:55555
770k  221.234.165.60:8686
671k  27.18.70.90:9100
658k  119.98.38.168:4022
541k  119.98.133.143:8088
518k  27.28.224.24:8989
219k  111.177.97.10:8880
216k  119.102.237.93:8888
209k  119.98.143.85:4022
